Unit	Page	Verses	Attributions	Biblical	Comment
8	3r	Rom.1.3	η  	κατὰ σάρκα 	κατὰ γὰρ πνεῦμα υἱος θεοῦ ἦν 
9	3r	Rom.1.4	θ  	τοῦ ὁρισθέντος υἱοῦ θεοῦ 	τοῦ ἀποδειχθέντος καὶ ἀποφανθέντος διά τε τῶν προφητῶν διά τε τῶν τοσούτων θεοσημειῶν διά τε τῆς ἀναστάσεως 
9Ph	3r	Rom.1.4	Φωτ(ιου)  s 	τοῦ ὁρισθέντος υἱοῦ θεοῦ 	Τοῦ ὁρισθέντος ἐπιγνωσθέντος εἰς γνῶσιν ἀνθρώποις ἐλθοντος εἰώθαμεν γὰρ δι' ὁρισμῶν τινων ἐπιγινώσκειν ἃ βεβαίως καὶ οὐκ ἐν δισταγμῷ ἐπιστάμεθα εἶτα πῶς οὖν ὡρίσθη πῶς εἰς γνῶσιν ἧκεν ἐκ προφητικῶν χρησμῶν ἐκ τῶν δυνάμεων ἃς ἐπετέλει ἐκ τοῦ πνεύματος τοῦ ἁγίου ὃ παρεῖχεν τοῖς εἰς αὐτὸν πεπιστευκόσιν ἐκ τοῦ ἀναστῆναι αὐτὸν ἐκ νεκρῶν τούτων γὰρ ἡ συνδρομὴ διορίζει αὐτὸν ἐκ τῶν ἄλλων ἁπάντων τῶν κατὰ χάριν κληθέντων υἱῶν καὶ δείκνυσιν αὐτὸν καὶ διδάσκει πάντας αὐτὸν εἶναι τὸν ἀληθῆ καὶ φύσει υἱὸν τοῦ θεοῦ καὶ θεὸν ὅθεν δυνάμεθα καὶ κατ' εὐθείαν ταῦτα συνείραντες τό τε ἐξαίρετον τῆς υἱοτητος αὐτοῦ καὶ ἀκοινώνητον παραστῆσαι καὶ τὴν περὶ αὐτοῦ γνῶσιν σαφῆ τοῖς πιστοῖς παρασχέσθαι οἷον λέγοντες Χριστὸς ἐστιν ὁ διὰ τῶν προφητῶν μὲν προκηρυχθεὶς γενόμενος δὲ κατὰ σάρκα ἐκ σπέρματος ∆αυὶδ δυνάμεσι δὲ καὶ πνεύματος ἁγίου χορηγίᾳ τὸ τῶν ἀνθρώπων γένος εὐεργετῶν καὶ διὰ τῆς οἰκείας ἀναστάσεως θάνατον νεκρώσας καὶ συναναστήσας τοὺς ἀπ' αἰῶνος νεκροὺς οὗτος ἐστιν ὁ Χριστὸς οὗτος ἐστιν ὁ υἱὸς τοῦ θεοῦ ὡς ἔστιν ἐν ἀφορισμῷ καὶ συνοψει εἰπεῖν πρόσθες εἰ βούλει πρὸς ἐξάπλωσιν σαφεστέραν δι' οὗ καὶ Παῦλος ἔλαβε χάριν ἀποστολῆς εἰς τὸ πεῖσαι τὰ βάρβαρα ἔθνη καὶ παρασκευάσαι ὑπακοῦσαι τῇ πίστει τῇ εἰς τὸ ὄνομα τοῦ κυρίου Ἰησοῦ Χριστοῦ τοῦτ' ἔστι πιστεῦσαι εἰς αὐτὸν καὶ λατρεύειν αὐτῷ ὡς ἀληθινῷ θεῷ καὶ υἱῷ 
10	3v	Rom.1.4	ι  	ἐν δυνάμει 	τουτέστιν οὐ χάριτι ὡς οἱ πολλοὶ ἀλλὰ δυνάμει οἰκεία ἦν ἐνήργει ἐν ταῖς θεοσημείαις 
11	3v	Rom.1.4	ια  	κατὰ πνεῦμα ἁγιωσύνης 	καὶ ἐκ τοῦ ἁγίου φησι πνεύματος ὁ παρέχει τοῖς εἰς αὐτον πιστεύουσιν 
12	3v	Rom.1.4	ιβ  	ἐξ ἀναστάσεως νεκρῶν Ἰησοῦ Χριστοῦ τοῦ κυρίου ἡμῶν 	καὶ ἐκ τῆς ἀναστάσεώς φησι καὶ τῆς τοῦ θανάτου καταλύσεως ἀναστάσεως δὲ ἧς αὐτος ἀνέστη ὁ κύριος ἡμῶν Ἰησοῦς Χριστός 
12Ph	3v	Rom.1.4	Φωτ(ιου)  s 	δι'οὗ ἐλάβομεν χάριν καὶ ἀποστολήν 	Χάριν καὶ ἀποστολὴν ἀντὶ τοῦ χάριν εἰς ἀποστολὴν ἔστι δὲ παρὰ πολλοῖς τὸ τοιοῦτον σχῆμα τοῦ λόγου καὶ μάλιστα παρὰ τῇ θεοπνεύστῳ γραφῇ ὡς ἐπίπαν ὁ καὶ παρέλκει 
13	3v	Rom.1.5	ιγ  	δι'οὗ ἐλάβομεν χάριν 	οὐκ ἐξ οἰκείων φησι κατορθωμάτων ἐλάβομεν τὴν ἀποστολὴν ἀλλὰ τὸ πᾶν χάριτος καὶ δωρεᾶς ἐστι 
14	3v	Rom.1.5	ιδ  	καὶ ἀποστολήν 	καίτοι τοῦ πνεύματος ἡ ἀποστολὴ αὐτοῦ ὡς ἐν ταῖς πράξεσι κεῖται ἀλλὰ πάντα κοινὰ οἶδας τὰ τῆς ἁγίας τριάδος 
14Ph	3v	Rom.1.5	Φωτ(ιου)  s 	πίστεως 	ἡ πίστις εἰς τὸ ὄνομα αὐτοῦ γέγονεν αὐτὸν γὰρ τὰ ἔθνη οὐκ ἐθεάσαντο ἀλλὰ μόνου κηρυττομένου τοῦ ὀνοματος ἐκεῖνοι ἐπίστευον ὄντως πλήρης ἦν χάριτος ἡ ἀποστολὴ τῶν μαθητῶν ὅτι ἔπεισαν ὑπακοῦσαι καὶ πιστεῦσαι τὰ ἔθνη τῷ Χριστῷ καὶ τό τε ἄνθρωποι καὶ ἁλιεῖς καὶ ἀγράμματοι 
15	3v	Rom.1.5	ιε  	εἰς ὑπακοὴν πίστεως 	καὶ γὰρ οὐ δεῖ πολυπραγμονεῖν γέννησιν καὶ οὐσίαν θεοῦ ἀλλὰ μόνον ὑπακούειν 
16	3v	Rom.1.5	ιϛ  	ἐν πᾶσι τοῖς ἔθνησιν 	εἰ γὰρ καὶ μὴ αὐτος πάντα περιῆλθεν ἀλλὰ καὶ οὕτως πάντες ευγγελισθησας διὰ τῶν λοιπῶν ἀποστόλων 
17	3v	Rom.1.5	ιζ  	ὑπὲρ τοῦ ὀνόματος αὐτοῦ 	οὐχ ἵνα τὴν οὐσίαν φησι τοῦ θεοῦ περιεργασωμεθα ἂλλ ἵνα τῶι ὀνόματι αὐτοῦ πιστεύσωσιν 
18	3v	Rom.1.6	ιη  	ἐν οἷς ἐστε καὶ ὑμεῖς κλητοὶ Ἰησοῦ Χριστοῦ 	ἐν οἷς ἔθνεσι τουτέστι μεθ' ὧν ἐθνῶν καὶ ὑμεῖς ἐκλήθητε οὐ γὰρ ἀφ' ἑαυτῶν ἥκατε καταστέλλει δὲ αὐτῶν τὸ φρόνημα ὡσεὶ ἔλεγεν μὴ νομίσητε ὡς βασιλεύουσα πόλις πλέον τι τῶν ἄλλων ἔχειν ἀλλὰ μετὰ τῶν λοιπῶν ἐθνῶν ἐκλήθητε 
19	3v	Rom.1.7	ιθ  	πᾶσι τοῖς οὖσιν ἐν Ῥώμῃ 	Οὐ γὰρ ἐστι παρ' αὐτω διαστολὴ πλουσίου καὶ πένητος 
20	3v	Rom.1.7	κ  	ἀγαπητοῖς θεοῦ 	πρῶτον τὸ ἀγαπητοῖς τέθεικε θεοῦ εἶτα τὸ κλητοῖς ἁγίοις δηλῶν ἐκ τῆς ἀγάπης είναι θεοῦ τὸν ἁγιασμον 
21	3v	Rom.1.7	κα  	κλητοῖς ἁγίοις 	πανταχοῦ κλητοῖς λέγων τῆς τοῦ θεοῦ ἡμᾶς εὐεργεσίας ἀναμιμνήσκει 
21Pha	3v	Rom.1.7	Φωτ(ιου)  s 	κλητοῖς ἁγίοις 	πόθεν ἐκλήθητε ἐκ ποίων πόνων ἐκ ποίων κατορθωμάτων πόθεν ἐστὲ ἅγιοι ἀλλ' ἢ ἐκ μόνης τῆς ἀγάπης θεοῦ αὐτὸς γὰρ δωρεὰν ἀγαπήσας ὑμᾶς καὶ τὸ αἷμα αὐτοῦ ὑπὲρ ἡμῶν ἐκχέας ἐκάλεσεν ἡμᾶς εἰς ἁγιασμὸν καὶ κληρονομίαν τῆς βασιλείας αὐτοῦ ἁγίους δὲ τοὺς πιστοὺς καλεῖ πάντας 
21Phb	3v	Rom.1.7	Φωτ(ιου)  s 	πᾶσι τοῖς οὖσιν ἐν Ῥώμῃ 	Πᾶσι τοῖς οὖσιν ἐν Ῥώμῃ ἀγαπητοῖς ἐξ αὐτῆς τῆς προσφωνήσεως ταπεινοφρονεῖν αὐτοὺς προοιμιάζεται εἰπὼν γὰρ πᾶσι καὶ μὴ μερίσας εἰς ἄρχοντας καὶ ἀρχομένους δούλους καὶ ἐλευθέρους ὁμοτίμους ἀλλήλους ἡγεῖσθαι λεληθότως συμβουλεύει εἶτα ἵνα μὴ εἴπωσιν τὶ οὖν πάντας ὁμοτίμους ἡγῇ καὶ ἀγαθοὺς καὶ φαύλους καὶ πιστοὺς καὶ ἀπίστους ἐπισυνῆψε κλητοῖς ἁγίοις ἅπαντες γὰρ αὐτῷ οἱ ἅγιοι ὁμοτιμοι καὶ διαστολὴ οὐκ ἔστιν ἐν αὐτοῖς 
22	4r	Rom.1.7	κβ  	χάρις ὑμῖν καὶ εἰρήνη 	οὐδεὶς γάρ φησιν ἐξ ἔργων δύναται σωθῆναι 
23	4r	Rom.1.7	κγ  	ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ 	ἡ γὰρ ἀπὸ θεοῦ χάρις καὶ εἰρήνη τὸ βέβαιον ἔχει τὸ ἀπὸ πατρὸς τὴν υἱοθεσίαν ἐνδείκνυται 
24	4r	Rom.1.8	κδ  	πρῶτον μὲν εὐχαριστῶ 	ἔδει γὰρ ἐξ εὐχαριστίας προοιμιάσασθαι εὐχαριστεῖν δὲ οὐ μόνον ὑπὲρ τῶν ἰδίων κατορθωμάτων ἀλλὰ καὶ ὑπὲρ τῶν τοῦ πλησίον τοῦτο γὰρ ἀγάπης 
25	4r	Rom.1.8	κε  	τῶι θεῶι μου 	ἀγάπης σημεῖον τὸν γὰρ ἁπάντων θεὸν ἰδιοποῖεται 
26	4r	Rom.1.8	κϛ  	διὰ Ἰησοῦ Χριστοῦ ὑπὲρ πάντων ὑμῶν 	αὐτος γὰρ ἡμῖν αἴτιος τῆς εἰς τὸν πατέρα εὐχαριστίας ὁ καὶ προσλαβόμενος ἡμᾶς καὶ τῶι ἰδίωι αἵματι πρὸς αὐτον καταλλάξας 
27	4r	Rom.1.8	κζ  	ὅτι ἡ πίστις ὑμῶν καταγγέλλεται ἐν ὅλωι τῶι κόσμωι 	τὴν γὰρ τῶν Ῥωμαίων πίστιν οὐκ ἀπεικὸς ἦν λαλεῖσθαι παρὰ πάντων 
28	4r	Rom.1.9	κη  	μάρτυς γάρ μου ἐστιν ὁ θεός 	εἰκοτως τὸν θεὸν ἄγει μάρτυρα ἀγνώστους ἀνθρώπους πείθειν βουλόμενος 
29	4r	Rom.1.9	κθ  	ὧι λατρεύω 	οἷον δουλεύω πολλὰ γὰρ εἴδη λατρείας καὶ γὰρ καὶ ὁ προσευχόμενος καὶ ὁ νηστείαι χρώμενος καὶ ὁ τοῖς θείοις λόγοις προσέχων καὶ μέντοι καὶ ὁ τῆς τῶν ξένων θεραπείας επιμελόμενος θεῶι λατρεύει ὁ δέ γε θεῖος ἀπόστολος λατρεύειν ἔφησε θεῶι τὸ τοῦ υἱοῦ προσφέρων τοῖς ἔθνεσιν εὐαγγέλιον καὶ λατρεύειν ἐν τῶι πνεύματι τουτέστιν ἐν τῶι διδομένω χαρίσματι ἐκ τούτου δείκνυσι κατὰ τὸ ἀναγκαῖον μεριμνῶν ὑπὲρ αὐτῶν ὡς τὸν λόγον δεξαμένων καὶ δέχεσθαι μελλόντων 
30	4r	Rom.1.9	λ  	ἐν τῶι πνεύματί μου ἐν τῶι εὐαγγελίωι 	ἡ ὅτι οὐ τῆι ἐμῆι σπουδῆι υπερξε μοι τὸ λατρεύειν θεῶι ἀλλὰ τῆι τοῦ πνεύματος χάριτι ἡ ὅτι οὐ σαρκική μου ἐστι ἡ λατρεία ἀλλὰ πνευματική 
31	4r	Rom.1.9	λα  	τοῦ υἱοῦ αὐτοῦ ὡς ἀδιαλείπτως 	ὁρᾷς ὅτι ἄνω εἰπὼν εἰς εὐαγγέλιον θεοῦ τοῦ Χριστοῦ ἔλεγεν 
32	4r	Rom.1.9-Rom.1.10	λβ  	μνείαν ὑμῶν ποιοῦμαι πάντοτε ἐπὶ τῶν προσευχῶν μου 	ἀγάπης εἰλικρινοῦς τὸ καὶ μεμνῆσθαι καὶ ἀδιαλείπτως τοῦτο ποιεῖν καὶ μάλιστα ἐν προσευχαῖς 
33	4r	Rom.1.10	λγ  	δεόμενος εἰ πως ἤδη ποτε 	καὶ γὰρ ἐλθεῖν ἠπείγετο καὶ περὶ τὸ θέλημα τοῦ θεοῦ τοῦτο πρᾶξαι οὐκ ἐβούλετο τὸ δὲ ἤδε ποτε ἀντὶ τοῦ ὀψέ ποτε ὅπερ ἐστι σφόδρα επειγομένου 
34	4r	Rom.1.10	λδ  	εὐοδωθήσομαι ἐν τῶι θελήματι τοῦ θεοῦ ἐλθεῖν πρὸς ὑμᾶς 	εὐκολίαν φησι σχοίην καὶ ἐπὶ καλῷ τὴν πρὸς ὑμᾶς ὁδόν 
35	4r	Rom.1.11	λε  	ἐπιποθῶ γὰρ ἰδεῖν ὑμᾶς 	οὐχ ἁπλῶς δέ φησι καὶ ἀνόητως ἰδεῖν ὑμᾶς σπουδεζω ἂλλ ώστε χάρισμα μεταδοῦναι λέγει δὲ τὴν διδαχὴν καὶ τὴν κατήχησιν τοῦτο γὰρ τὸ στηριχθῆναι εἰκὸς ἀκμὴν σαλευομένων αὐτῶν 
36	4r	Rom.1.11	λϛ  	ἵνα τι μεταδῶ χάρισμα ὑμῖν πνευματικόν 	τὸ ἵνα τι μετριάζοντος ἐστιν ὡσεὶ εἶπεν ἵνα μικροντι τὸ δὲ μεταδῶ δηλοῖ ὅτι οὐκ ἐμόν τι δώσω ἂλλ ὅπερ καὶ ἐγὼ ἔλαβον 
37	4r	Rom.1.11	λζ  	εἰς τὸ στηριχθῆναι ὑμᾶς 	οὐ γὰρ μικρὸν χάρισμα τὸ μὴ σαλεύεσθαι τῆι πίστει 
37Ph	4v	Rom.1.12	Φωτ(ιου)  s 	τοῦτο δὲ ἐστι συμπαρακληθῆναι 	Τὸ μεταδοῦναι ὑμῖν χάρισμα οὐκ ἔστιν ἐμὸν μόνον ἀλλὰ τῆς διακονίας μὲν τῆς ἐμῆς τῆς δὲ ὑπουργίας τῆς ὑμετέρας ἵνα γὰρ μὴ ἀκούσαντες ὅτι εἰσὶν ἐνδεεῖς καὶ ὅτι δέονται στηριχθῆναι ἔτι δυσανασχετήσωσι κοινοποιεῖται καὶ τὸ χάρισμα τὸ πνευματικὸν καὶ τὸ στηριχθῆναι αὐτοὺς καὶ οὐκ ἔστι φησὶ τὸ ταῦτα γενέσθαι ἐμα ἢ τῆς ἐμῆς μόνης προαιρέσεως καὶ διακονίας ἀλλὰ κοινὰ ἐστιν ὑμῶν τε καὶ ἐμοῦ καὶ οὐδὲ τό τε ἁπλῶς ἀλλὰ διὰ τῆς ἐν ἀλλήλοις πίστεως πῶς καὶ τίνα τρόπον ἐὰν αὐτοὶ ἔχητε φησὶ πίστιν τοῦ λαβεῖν τὸ χάρισμα ἐγώ τε πάλιν πίστιν τοῦ δοῦναι ὑμῖν τότε δὴ καὶ τὸ χάρισμα πνευματικὸν ὑπάρχον διὰ τῆς ἐν ἀλλήλοις πίστεως ἐνεργεῖται καὶ δίδοται ἐὰν γὰρ ἐγὼ μὲν πίστιν ἔχω τοῦ δοῦναι καὶ πολὺν ἀγῶνα καὶ σπουδὴν ὑμεῖς δὲ οὐκ ἔχητε πίστιν τοῦ λαβεῖν οὐδ' ἐπιθυμίαν καὶ ἐπιμέλειαν περὶ τὸ λαβεῖν οὐ παραγίνεται ὑμῖν κἂν ἐγὼ βούλωμαι τὸ χάρισμα τὸ πνευματικὸν δεῖ οὖν ἀμφοτερα συνδραμεῖν καὶ τὸ ἐξ ἐμοῦ καὶ τὸ ἐξ ὑμῶν ἀλλὰ τὸ ἐξ ἐμοῦ πάρεστιν ἐγὼ γὰρ οὐ μόνον ἁπλῶς κρίνω δεῖν ὑμᾶς λαβεῖν τὴν δωρεὰν ἀλλὰ καὶ ἐπιποθῶ λοιπὸν ἐστι τὸ ἐξ ὑμῶν τοῦτο δὲ παραγίνεται δι' ἔργων ἀγαθῶν καὶ καρπῶν ἀξίων τῆς δωρεᾶς τότε γὰρ αὐτοὶ πίστιν ἕξετε τοῦ λαβεῖν καὶ ἐπιθυμίαν ὅτε ἀξίους ἑαυτοὺς παρασκευάσοιτε τῆς δωρεᾶς καὶ τότε ἔτι μᾶλλον κἀγὼ πλέον ἕξω πίστιν καὶ ἐπιποθησιν τοῦ δοῦναι ὥστε πανταχόθεν ἐξ ὑμῶν ὑπάρχει τὸ λαβεῖν ὑμᾶς λαμβανόντων δὲ ὑμῶν τὸ χάρισμα κοινὸν γίνεται τὸ κέρδος καὶ δηλονοτιπαρακαλούμεθα καὶ εὐφραινομεθα ἐν ἀλλήλοις 
38	4v	Rom.1.12-Rom.1.13	λη  	τοῦτο δὲ ἐστι συμπαρακληθῆναι ἐν ὑμῖν διὰ τῆς ἐν ἀλλήλοις πίστεως ὑμῶν τε καὶ ἐμοῦ οὐ θέλω δὲ ὑμᾶς ἀγνοεῖν ἀδελφοὶ ὅτι πολλάκις προεθέμην ἐλθεῖν πρὸς ὑμᾶς 	ἐπειδὴ στηριγμοῦ ἐμνήσθη ἵνα μὴ λυπήση αὐτοὺς ὡς ὅτι σαλεύονται ἐπάγει τὸ συμπαρακληθῆναι τοῦτ' ἐστιν ἵνα καὶ ἐγὼ ὑμᾶς καὶ ὑμεῖς ἐμε παρακαλέσητε τῆς γὰρ ἀλλήλων φησι δεόμεθα παρακλήσεως διὰ τῆς ἐνούσης ἡμῖν πίστεως σφόδρα δὲ μετριάζει ἑνὶ δὲ καὶ οὕτως νοῆσαι τὴν παράκλησιν ἵνα ὑμεῖς μὲν παρ' ἐμοῦ εἰς τὴν πίστιν παρακληθῆτε ἐγὼ δὲ εἰς εὐφροσύνην ὁρῶν ὑμᾶς πεπιστευκότας 
38Ph	4v	Rom.1.13	Φωτ(ιου)  		∆ιὰ τῆς ἐν ἀλλήλοις πίστεως ὑμῶν μὲν διὰ τοῦ παραλαβεῖν καὶ παραδέξασθαι τὴν πίστιν ἐμοῦ δὲ διὰ τοῦ κηρύξαι καὶ παραδοῦναι ταύτην ἢ καὶ ὑμῶν μὲν ἀξιοπιστον εἰς τὸ κηρύξαι καὶ διδάξαι με ὑπολαμβανοντων ἐμοῦ δὲ πάλιν ἀξιοπίστους εἰς τὸ ἐμπιστευθῆναι τὰ λόγια τοῦ θεοῦ καὶ τὴν τελειοτέραν κρίναντος διδασκαλίαν ἢ ἐμοῦ μὲν ὁρῶντος προθύμως ὑποδεχομένους ὑμᾶς καὶ ἐξ ἑτοίμου τὸ κήρυγμα ὑμῶν δὲ πάλιν τὴν ἐμὴν σπουδὴν καὶ τὴν περὶ αὐτὸ ἐπιμέλειαν αὐτῇ παραλαμβανόντων ὄψει μέγα γὰρ εἰς παράκλησιν μαθητῶν σπουδὴ διδασκάλου καὶ πάλιν εἰς διδασκάλου παράκλησιν μαθητῶν ἑτοιμοτης καὶ προθυμία συντελεῖ δὲ τοῦτο καὶ εἰς μείζονα πληροφορίαν τῆς πίστεως ἑκατέροις ὅταν ὁ μὲν κηρύσσων ὁρᾷ τὰς τῶν ἀνθρώπων ψυχὰς παραδόξως εἰς ὑπακοὴν ἑλκομένας μᾶλλον γὰρ τὴν θειότητα καὶ τὸ μεγαλεῖον τῆς πίστεως ἀποθαυμάζει καὶ μᾶλλον ῥώννυται εἰς τὸ κηρύσσειν ταύτην καὶ ὅταν πάλιν ὁρῶσιν οἱ μαθηταὶ εὐτονως καὶ σὺν ἐλπίδι βεβαίᾳ τὸν κήρυκα τὴν πίστιν παραδιδόντα μᾶλλον γὰρ ὑποδέχονται ταὐτὴν καὶ μᾶλλον στηρίζονται ἐν αὐτῇ καὶ διὰ τῆς ἐν ἀλλήλοις πίστεως οὕτως ἑκάτεροι παρακαλοῦνται 
39	5r	Rom.1.13	μ  	καὶ ἐκωλύθην 	εἰ οὖν εὐχὴ ἐλθεῖν καὶ ἐπὶ ὠφέλεια ἔρχῃ τι μὴ παραγίνῃ ἐκωλύθην φησιν 
40	5r	Rom.1.13	μα  	ἄχρι τοῦ δεῦρο 	οὐκέτι δὲ περιεργάζεται τὴν αἰτίαν τῆς κωλύσεως οὐ γὰρ ἡμῶν τὸ ἀπαιτεῖν εὐθύνας θεοῦ ὧν κελεύει ἀλλὰ μόνον ὑπακούειν 
41	5r	Rom.1.13	*  		πάντως εἴποι τις διὰ τοῦτο ἐκωλύθης ὅτι οὐ κατὰ θεὸν ἐλθεῖν ἐβούλου οὐμενοῦν φησι καρπὸν γὰρ σχεῖν καὶ ἐν ὑμῖν ἤθελον καρπὸν λέγων τὸ εἰς πίστιν αὐτοὺς εναγεγειν 
